file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,92,2521,8647,5602,2.35648,0.003861,184,61,1.487805,1,4,1,24.282609,40,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,92,2641,8647,5602,2.863252,0.004758,184,58,1.452381,1,4,1,19.86413,38,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,92,2598,8647,5602,2.871877,0.005166,184,68,1.577586,1,5,1,28.184783,45,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,92,2600,8647,5602,2.680267,0.00329,184,67,1.564103,1,5,1,15.293478,24,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,92,2385,8647,5602,2.334016,0.003858,184,57,1.440945,1,4,1,24.804348,36,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,92,2398,8647,5602,2.29879,0.003285,184,57,1.440945,1,5,1,23.097826,41,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,92,2383,8647,5602,2.303893,0.003518,184,62,1.5,1,5,1,21.548913,41,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,92,2410,8647,5602,2.322701,0.004016,184,69,1.591304,1,4,1,20.413043,32,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,92,2378,8647,5602,2.300349,0.004173,184,57,1.440945,1,3,1,25.298913,40,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,110,2502,8647,5602,2.742008,0.003564,184,62,1.5,1,4,1,23.505435,46,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,110,2478,8647,5602,2.745828,0.003396,184,60,1.475806,1,4,1,24.173913,42,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,110,2517,8647,5602,3.419846,0.003305,184,63,1.512397,1,4,1,21.706522,38,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,110,2456,8647,5602,2.755728,0.004145,184,63,1.512397,1,4,1,15.309783,25,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,110,2466,8647,5602,2.793171,0.003638,184,64,1.525,1,4,1,19.940217,36,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,110,2325,8647,5602,2.702786,0.003157,184,59,1.464,1,4,1,22.163043,34,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,110,2306,8647,5602,2.977575,0.00333,184,63,1.512397,1,5,1,22.108696,35,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,110,2319,8647,5602,2.769757,0.003343,184,52,1.386364,1,5,1,26.554348,49,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,110,2313,8647,5602,3.423903,0.00342,184,63,1.512397,1,4,1,21.61413,39,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,110,2344,8647,5602,2.741495,0.003455,184,63,1.512397,1,4,1,24.233696,47,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,128,2425,8647,5602,3.165195,0.003368,184,63,1.512397,1,5,1,16.641304,41,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,128,2415,8647,5602,3.155182,0.003864,184,66,1.550847,1,4,1,18.929348,35,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,128,2455,8647,5602,3.16003,0.004077,184,61,1.487805,1,4,1,16.73913,36,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,128,2442,8647,5602,3.99435,0.003916,184,59,1.464,1,4,1,18.494565,35,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,128,2422,8647,5602,3.406238,0.003756,184,61,1.487805,1,5,1,21.586957,39,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,128,2263,8647,5602,3.196976,0.003951,184,59,1.464,1,4,1,24.336957,41,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,128,2285,8647,5602,3.18103,0.003677,184,65,1.537815,1,4,1,22.108696,42,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,128,2272,8647,5602,3.946536,0.002981,184,53,1.396947,1,5,1,27.836957,42,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,128,2263,8647,5602,4.012657,0.003185,184,61,1.487805,1,4,1,21.961957,39,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,128,2282,8647,5602,3.16304,0.00356,184,50,1.365672,1,4,1,17.918478,35,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,147,2400,8647,5602,3.819343,0.003971,184,60,1.475806,1,4,1,20.934783,46,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,147,2414,8647,5602,3.662373,0.004439,184,57,1.440945,1,4,1,14.956522,37,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,147,2396,8647,5602,4.475591,0.003583,184,56,1.429688,1,5,1,15.657609,29,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,147,2391,8647,5602,4.605557,0.004328,184,58,1.452381,1,4,1,22.36413,46,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,147,2382,8647,5602,4.305028,0.004375,184,63,1.512397,1,5,1,19.048913,35,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,147,2241,8647,5602,4.564458,0.003701,184,54,1.407692,1,5,1,29.771739,56,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,147,2228,8647,5602,3.51809,0.003717,184,56,1.429688,1,5,1,24.309783,43,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,147,2220,8647,5602,3.820923,0.003095,184,61,1.487805,1,5,1,20.842391,40,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,147,2229,8647,5602,4.571912,0.00329,184,57,1.440945,1,5,1,18.233696,29,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,147,2238,8647,5602,4.291518,0.003387,184,57,1.440945,1,3,1,21.320652,42,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,165,2361,8647,5602,4.082415,0.004488,184,59,1.464,1,4,1,23.23913,45,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,165,2356,8647,5602,4.05027,0.003812,184,55,1.418605,1,4,1,17.538043,32,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,165,2354,8647,5602,4.0327,0.003944,184,54,1.407692,1,5,1,21.195652,41,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,165,2363,8647,5602,4.121938,0.003945,184,59,1.464,1,5,1,21.233696,41,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,165,2361,8647,5602,5.139275,0.003838,184,62,1.5,1,4,1,28.505435,55,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,165,2205,8647,5602,5.127783,0.004772,184,60,1.475806,1,5,1,18.36413,30,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,165,2198,8647,5602,5.120521,0.004109,184,52,1.386364,1,5,1,27.26087,45,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,165,2192,8647,5602,4.909367,0.003623,184,64,1.525,1,5,1,13.663043,25,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,165,2191,8647,5602,4.046707,0.004687,184,58,1.452381,1,5,1,19.836957,33,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,165,2207,8647,5602,4.620016,0.0043,184,61,1.487805,1,5,1,16.76087,36,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,182,2335,8647,5602,4.472013,0.003812,184,61,1.487805,1,5,1,17.842391,32,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,182,2335,8647,5602,4.477667,0.003612,184,61,1.487805,1,5,1,17.842391,32,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,182,2335,8647,5602,4.514582,0.003356,184,61,1.487805,1,5,1,17.842391,32,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,182,2335,8647,5602,4.552439,0.003643,184,61,1.487805,1,5,1,17.842391,32,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,182,2335,8647,5602,4.555428,0.003626,184,61,1.487805,1,5,1,17.842391,32,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,182,2181,8647,5602,4.518228,0.00386,184,57,1.440945,1,5,1,22.298913,41,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,182,2181,8647,5602,4.485333,0.003129,184,57,1.440945,1,5,1,22.298913,41,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,182,2181,8647,5602,4.787511,0.003165,184,57,1.440945,1,5,1,22.298913,41,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,182,2181,8647,5602,4.438671,0.00463,184,57,1.440945,1,5,1,22.298913,41,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,182,2181,8647,5602,4.551151,0.003465,184,57,1.440945,1,5,1,22.298913,41,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,6,1848,14030,5323,0.096386,0.002527,69,27,1.619048,1,3,1,10.231884,19,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,6,1677,14030,5323,0.093503,0.002756,69,28,1.658537,1,4,1,11.666667,22,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,6,1637,14030,5323,0.095529,0.002523,69,23,1.478261,1,4,1,10.521739,24,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,6,1813,14030,5323,0.095984,0.002813,69,26,1.581395,1,3,1,8.782609,14,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,6,1781,14030,5323,0.097314,0.003019,69,21,1.416667,1,3,1,12.478261,22,,,,,
mao,modified,false,branch_uniform,1,1,1,1,6,1496,14030,5323,0.093367,0.002901,69,25,1.545455,1,4,1,10.681159,18,,,,,
mao,modified,false,branch_uniform,1,1,1,1,6,1453,14030,5323,0.096137,0.002625,69,19,1.36,1,4,1,17.376812,30,,,,,
mao,modified,false,branch_uniform,1,1,1,1,6,1515,14030,5323,0.098964,0.002767,69,25,1.545455,1,4,1,12.130435,24,,,,,
mao,modified,false,branch_uniform,1,1,1,1,6,1568,14030,5323,0.129998,0.002449,69,24,1.511111,1,3,1,11.173913,21,,,,,
mao,modified,false,branch_uniform,1,1,1,1,6,1587,14030,5323,0.142346,0.002728,69,23,1.478261,1,4,1,14.072464,25,,,,,
