file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth
acyclic,traditional,true,branch_uniform,1,1,1,1,147,2397,8647,5602,1.357217,0.004035,184,56,1.429688,1,6,1,15.119565,26
acyclic,modified,false,branch_uniform,1,1,1,1,147,2234,8647,5602,1.235282,0.003154,184,57,1.440945,1,4,1,28.483696,52
acyclic,modified,false,branch_uniform,1,1,1,1,147,2234,8647,5602,1.465637,0.003201,184,52,1.386364,1,5,1,27.190217,45
acyclic,modified,false,branch_uniform,1,1,1,1,147,2222,8647,5602,1.373463,0.006028,184,63,1.512397,1,4,1,16.619565,38
acyclic,traditional,true,branch_uniform,1,1,1,1,165,2360,8647,5602,1.479350,0.003437,184,57,1.440945,1,4,1,20.119565,35
acyclic,traditional,true,branch_uniform,1,1,1,1,165,2344,8647,5602,1.625776,0.003280,184,61,1.487805,1,4,1,18.353261,30
acyclic,traditional,true,branch_uniform,1,1,1,1,165,2362,8647,5602,1.566112,0.003418,184,58,1.452381,1,5,1,16.565217,30
acyclic,modified,false,branch_uniform,1,1,1,1,165,2196,8647,5602,1.315742,0.003500,184,56,1.429688,1,5,1,22.472826,36
acyclic,modified,false,branch_uniform,1,1,1,1,165,2200,8647,5602,1.333342,0.003500,184,56,1.429688,1,5,1,24.336957,41
acyclic,modified,false,branch_uniform,1,1,1,1,165,2202,8647,5602,1.458607,0.003667,184,58,1.452381,1,5,1,13.489130,30
acyclic,traditional,true,branch_uniform,1,1,1,1,182,2335,8647,5602,1.478726,0.017466,184,61,1.487805,1,5,1,17.842391,32
acyclic,traditional,true,branch_uniform,1,1,1,1,182,2335,8647,5602,3.018983,0.003742,184,61,1.487805,1,5,1,17.842391,32
acyclic,traditional,true,branch_uniform,1,1,1,1,182,2335,8647,5602,2.279295,0.003340,184,61,1.487805,1,5,1,17.842391,32
acyclic,modified,false,branch_uniform,1,1,1,1,182,2181,8647,5602,1.637293,0.003487,184,57,1.440945,1,5,1,22.298913,41
acyclic,modified,false,branch_uniform,1,1,1,1,182,2181,8647,5602,1.568511,0.003693,184,57,1.440945,1,5,1,22.298913,41
acyclic,modified,false,branch_uniform,1,1,1,1,182,2181,8647,5602,1.931415,0.003608,184,57,1.440945,1,5,1,22.298913,41
mao,traditional,true,branch_uniform,1,1,1,1,6,1760,14030,5323,0.073301,0.018451,69,22,1.446809,1,3,1,9.391304,17
mao,traditional,true,branch_uniform,1,1,1,1,6,1776,14030,5323,0.060153,0.004188,69,25,1.545455,1,4,1,10.913043,18
mao,traditional,true,branch_uniform,1,1,1,1,6,1963,14030,5323,0.064813,0.002638,69,23,1.478261,1,4,2,8.942029,17
mao,modified,false,branch_uniform,1,1,1,1,6,1491,14030,5323,0.059928,0.003697,69,23,1.478261,1,3,1,9.434783,19
mao,modified,false,branch_uniform,1,1,1,1,6,1532,14030,5323,0.067133,0.015568,69,26,1.581395,1,3,1,8.492754,15
mao,modified,false,branch_uniform,1,1,1,1,6,1559,14030,5323,0.054906,0.002497,69,24,1.511111,1,4,1,8.608696,19
mao,traditional,true,branch_uniform,1,1,1,1,13,1280,14030,5323,0.130760,0.027694,69,26,1.581395,1,4,1,11.637681,20
mao,traditional,true,branch_uniform,1,1,1,1,13,1290,14030,5323,0.113270,0.002648,69,23,1.478261,1,4,1,10.028986,17
mao,traditional,true,branch_uniform,1,1,1,1,13,1287,14030,5323,0.105046,0.002651,69,25,1.545455,1,4,1,18.159420,33
mao,modified,false,branch_uniform,1,1,1,1,13,1055,14030,5323,0.218297,0.003652,69,27,1.619048,1,4,1,7.159420,14
mao,modified,false,branch_uniform,1,1,1,1,13,1116,14030,5323,0.116641,0.004730,69,21,1.416667,1,3,1,13.014493,21
mao,modified,false,branch_uniform,1,1,1,1,13,1107,14030,5323,0.094067,0.002844,69,30,1.743590,1,4,1,7.420290,17
mao,traditional,true,branch_uniform,1,1,1,1,20,1119,14030,5323,0.130733,0.003854,69,27,1.619048,1,4,1,9.623188,17
mao,traditional,true,branch_uniform,1,1,1,1,20,1176,14030,5323,0.132592,0.003067,69,22,1.446809,1,4,1,11.376812,21
mao,traditional,true,branch_uniform,1,1,1,1,20,1121,14030,5323,0.159387,0.003258,69,25,1.545455,1,4,1,12.057971,21
mao,modified,false,branch_uniform,1,1,1,1,20,1001,14030,5323,0.128823,0.002687,69,24,1.511111,1,3,1,9.623188,18
mao,modified,false,branch_uniform,1,1,1,1,20,1007,14030,5323,0.129004,0.003738,69,27,1.619048,1,4,1,11.000000,17
mao,modified,false,branch_uniform,1,1,1,1,20,994,14030,5323,0.130767,0.002511,69,27,1.619048,1,4,1,9.507246,17
mao,traditional,true,branch_uniform,1,1,1,1,27,1042,14030,5323,0.185773,0.017961,69,25,1.545455,1,4,1,11.478261,22
mao,traditional,true,branch_uniform,1,1,1,1,27,1124,14030,5323,0.174955,0.002692,69,25,1.545455,1,3,1,13.376812,23
mao,traditional,true,branch_uniform,1,1,1,1,27,1041,14030,5323,0.170837,0.002584,69,28,1.658537,1,4,1,10.420290,20
mao,modified,false,branch_uniform,1,1,1,1,27,899,14030,5323,0.171271,0.004483,69,22,1.446809,1,3,1,10.130435,17
mao,modified,false,branch_uniform,1,1,1,1,27,913,14030,5323,0.312961,0.003125,69,25,1.545455,1,3,1,10.550725,17
mao,modified,false,branch_uniform,1,1,1,1,27,908,14030,5323,0.292762,0.002526,69,27,1.619048,1,3,1,10.463768,19
mao,traditional,true,branch_uniform,1,1,1,1,34,990,14030,5323,0.421817,0.029001,69,24,1.511111,1,3,1,9.956522,16
mao,traditional,true,branch_uniform,1,1,1,1,34,1015,14030,5323,0.393815,0.003527,69,19,1.360000,1,3,1,9.231884,18
mao,traditional,true,branch_uniform,1,1,1,1,34,991,14030,5323,0.365890,0.003224,69,26,1.581395,1,4,1,9.695652,19
mao,modified,false,branch_uniform,1,1,1,1,34,871,14030,5323,0.380719,0.002918,69,25,1.545455,1,4,1,7.710145,13
mao,modified,false,branch_uniform,1,1,1,1,34,848,14030,5323,0.325508,0.002711,69,25,1.545455,1,4,1,9.710145,16
mao,modified,false,branch_uniform,1,1,1,1,34,863,14030,5323,0.327159,0.002910,69,22,1.446809,1,3,1,11.463768,20
mao,traditional,true,branch_uniform,1,1,1,1,41,960,14030,5323,0.413582,0.021583,69,21,1.416667,1,4,1,11.695652,20
mao,traditional,true,branch_uniform,1,1,1,1,41,986,14030,5323,0.393406,0.003005,69,27,1.619048,1,4,1,6.710145,12
mao,traditional,true,branch_uniform,1,1,1,1,41,962,14030,5323,0.401156,0.002385,69,25,1.545455,1,4,1,8.536232,16
mao,modified,false,branch_uniform,1,1,1,1,41,832,14030,5323,0.437262,0.003163,69,23,1.478261,1,4,1,9.101449,16
mao,modified,false,branch_uniform,1,1,1,1,41,850,14030,5323,0.394778,0.003080,69,20,1.387755,1,3,1,12.000000,23
mao,modified,false,branch_uniform,1,1,1,1,41,815,14030,5323,0.385081,0.002807,69,20,1.387755,1,4,1,10.130435,19
mao,traditional,true,branch_uniform,1,1,1,1,48,952,14030,5323,0.472313,0.039216,69,23,1.478261,1,4,1,11.869565,22
mao,traditional,true,branch_uniform,1,1,1,1,48,935,14030,5323,0.382221,0.003002,69,20,1.387755,1,3,1,13.304348,24
mao,traditional,true,branch_uniform,1,1,1,1,48,952,14030,5323,0.299227,0.002870,69,21,1.416667,1,3,1,9.362319,16
mao,modified,false,branch_uniform,1,1,1,1,48,784,14030,5323,0.294686,0.002712,69,23,1.478261,1,3,1,9.666667,15
mao,modified,false,branch_uniform,1,1,1,1,48,799,14030,5323,0.291839,0.003006,69,23,1.478261,1,4,1,7.260870,14
mao,modified,false,branch_uniform,1,1,1,1,48,808,14030,5323,0.291038,0.002590,69,26,1.581395,1,3,1,9.869565,18
mao,traditional,true,branch_uniform,1,1,1,1,55,940,14030,5323,0.341450,0.029279,69,22,1.446809,1,3,1,10.188406,16
mao,traditional,true,branch_uniform,1,1,1,1,55,942,14030,5323,0.338454,0.002763,69,23,1.478261,1,3,1,12.985507,20
